INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] 
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] Starting up hybris server
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] 
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] Configuration:
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] 
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] Cluster:     disabled
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] Tenant:      master
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] Mode:        development
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] OS:          Mac OS X 14.4.1, x86_64
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] Database:    Pool: hybris - hsqldb, table prefix: 
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver]              SA - jdbc:hsqldb:file:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/data/hsqldb/mydb;shutdown=true;hsqldb.tx=MVCC;hsqldb.log_size=256
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] Platform:    2105.20
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] Java:        Homebrew
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver]              OpenJDK Runtime Environment, 11.0.21+0
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver]              /Users/tbolli01/Library/Java/JavaVirtualMachines/openjdk-11.jdk/Contents/Home
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] VM Locale:   language=en,country=CH,region=null
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] Cache:       RegionCache is not yet initialized. [de.hybris.platform.cache.impl.RegionCacheAdapter]
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] Server type: tomcat
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] 
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] *****************************************************************
